t_k.nr;t_knavn;t_fnavn;t_sone;k_innbyggere;k_areal;k_ansatte;k_tilskudd;k_språk;k_slagord;f_slagord;k_lat;k_lon;k_lon_decimal;k_lat_decimal;h_id;h_navn;h_operatør;h_type;h_url;h_lat;h_lon
4216;Birkenes;Agder;NO2;5 487;637;1195; 220 807,84 ; nøytral ;Trygghet og trivsel;0;"8° 11' 45,097"" E";"58° 26' 48,530"" N";8,19586;58,446814;339409578;Cáihnavággihytta;Narvik og Omegn Turistforening;ubetjent;https://ut.no/hytte/c%C3%A1ihnav%C3%A1ggihytta;68,1189329;17,947996
1114;Bjerkreim;Rogaland;NO5;2 894;651;685; 119 935,60 ; nynorsk ;;Vi utvikler ett godt Rogaland. Verdiar: Vi er åpne, vi er kompetente, vi viser respekt.;"6° 12' 2,652"" E";"58° 39' 45,525"" N";6,200737;58,662646;339409580;Losistua;DNT Oslo og Omegn;ubetjent;https://ut.no/hytte/losistua;68,1901463;17,7845141
4624;Bjørnafjorden;Vestland;NO5;26 191;517;6620; 890 063,17 ; nynorsk ;;0;"5° 41' 42,490"" E";"60° 13' 2,395"" N";5,695136;60,217332;339409581;Skoaddejávre;Narvik og Omegn Turistforening;ubetjent;https://ut.no/hytte/skoaddej%C3%A1vre;68,0588072;17,5926033
1804;Bodø;Nordland;NO4;53 586;1395;15090; 1 671 320,48 ; nøytral ;Bodø i vinden;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"14° 49' 44,189"" E";"67° 15' 56,379"" N";14,828941;67,265661;339409582;Sitashytta;Narvik og Omegn Turistforening;ubetjent;https://ut.no/hytte/sitashytta;68,100582;17,2347661
1145;Bokn;Rogaland;NO5;891;47;198; 58 750,10 ; nynorsk ;;Vi utvikler ett godt Rogaland. Verdiar: Vi er åpne, vi er kompetente, vi viser respekt.;"5° 25' 56,476"" E";"59° 12' 40,065"" N";5,432354;59,211129;339409583;Paurohytta;Narvik og Omegn Turistforening;ubetjent;https://ut.no/hytte/paurohytta;68,0489365;17,0316185
4648;Bremanger;Vestland;NO5;3 378;833;716; 172 203,85 ; nynorsk ;Trivselskommunen ved havet;0;"5° 20' 51,083"" E";"61° 48' 9,868"" N";5,347523;61,802741;339412453;Skoddeberghytta;Harstad Turlag;ubetjent;https://ut.no/hytte/skoddeberghytta;68,5635421;17,2332339
1813;Brønnøy;Nordland;NO4;7 845;1046;1837; 320 671,94 ; nøytral ;;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"12° 40' 15,249"" E";"65° 24' 39,010"" N";12,670902;65,410836;339595788;Blåvatnhytta;Harstad Turlag;ubetjent;https://ut.no/hytte/blaavatnhytta;68,5709003;17,0132008
4220;Bygland;Agder;NO2;1 172;1312;233; 68 077,44 ; nynorsk ;;0;"7° 39' 28,816"" E";"58° 53' 5,262"" N";7,658004;58,884795;339595789;Maistua;Harstad Turlag;ubetjent;https://ut.no/hytte/maistua;68,7614982;16,5196442
4222;Bykle;Agder;NO2;1 030;1467;282; 55 911,33 ; nynorsk ;Bykle ser langt;0;"7° 12' 11,426"" E";"59° 26' 14,566"" N";7,203174;59,437379;339595790;Bjørnhaugen;Harstad Turlag;ubetjent;https://ut.no/hytte/bjoernhaugen;68,6583336;16,3896615
3201;Bærum;Akershus;NO1;131 732;192;37084; 4 151 593,84 ; bokmål ;;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"10° 29' 42,982"" E";"59° 56' 28,716"" N";10,495273;59,94131;339595793;Haakonsbu;Harstad Turlag;ubetjent;https://ut.no/hytte/haakonsbu;68,5943663;16,065063
1867;Bø;Nordland;NO4;2 648;247;433; 132 732,32 ; nøytral ;;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"14° 36' 7,868"" E";"68° 42' 39,691"" N";14,602186;68,711025;339595794;Fossestua;Harstad Turlag;ubetjent;https://ut.no/hytte/fossestua;68,6349622;16,0473736
4613;Bømlo;Vestland;NO5;12 301;247;2884; 449 998,04 ; nynorsk ;Driftige folk i vakker natur;0;"5° 12' 24,960"" E";"59° 45' 4,275"" N";5,206933;59,751188;339595795;Ingemannhytta;Vesterålen Turlag;ubetjent;https://ut.no/hytte/ingemannhytta;68,7048958;15,7523517
5632;Båtsfjord;Finnmark;NO4;2 110;1435;502; 125 947,37 ; nøytral ;Fiskerihovedstaden;Der drømmer blir virkelighet;"29° 56' 6,928"" E";"70° 30' 0,154"" N";29,935258;70,500043;339595796;Snytindhytta;Vesterålen Turlag;ubetjent;https://ut.no/hytte/snytindhytta;68,5640545;15,575553
3431;Dovre;Innlandet;NO1;2 513;1364;464; 129 815,89 ; nøytral ;;Eventyrlige muligheter;"9° 27' 31,292"" E";"62° 4' 43,365"" N";9,458692;62,078713;339595798;Selfjordhytta;Lofoten Turlag;ubetjent;https://ut.no/hytte/selfjordhytta;68,03592;13,0751658
3301;Drammen;Buskerud;NO1;105 043;318;27294; 3 417 509,50 ; nøytral ;Miljø- og kompetansebyen Drammen. En tett mangfoldig og levende by i et vakkert landskap ;Buskerud fylkeskommune skaper resultater gjennom samhandling. Verdiar: Raushet, åpenhet, mot, entusiasme;"10° 9' 0,677"" E";"59° 42' 51,758"" N";10,150188;59,714377;339599364;Ny-Sulitjelma fjellstue (Hanken);Sulitjelma og Omegn Turistforening;ubetjent;https://ut.no/hytte/ny-sulitjelma-fjellstue;67,1401726;16,1368391
4016;Drangedal;Telemark;NO1;4 083;1063;765; 188 344,29 ; nøytral ;;Visjonar: vær modig, vær imøtekommende, vær troverdig;"8° 58' 42,341"" E";"59° 6' 0,286"" N";8,978428;59,100079;339599365;Lomihytta;Sulitjelma og Omegn Turistforening;ubetjent;https://ut.no/hytte/lomihytta;67,1236209;16,2036218
5528;Dyrøy;Troms;NO4;1 055;289;182; 78 039,83 ; bokmål ;Den lærende kommune;Vilt, vakkert og vått;"17° 41' 45,283"" E";"69° 2' 4,340"" N";17,695912;69,034539;339599366;Muorkihytta;Sulitjelma og Omegn Turistforening;ubetjent;https://ut.no/hytte/muorkihytta;67,054297;16,3724255
1827;Dønna;Nordland;NO4;1 429;193;256; 89 768,15 ; bokmål ;;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"12° 30' 5,470"" E";"66° 7' 22,088"" N";12,501519;66,122802;339599367;Tjalalveshytta;Sulitjelma og Omegn Turistforening;ubetjent;https://ut.no/hytte/calalveshytta;67,0540414;16,0945186
4619;Eidfjord;Vestland;NO5;969;1498;221; 56 434,63 ; nynorsk ;Unik frå fjell til fjord / Unik fra fjell til fjord;0;"7° 21' 35,501"" E";"60° 22' 4,915"" N";7,359861;60,368032;339599368;Gjælentunet;Bodø og Omegns Turistforening;ubetjent;https://ut.no/hytte/gjaelentunet;67,1878308;14,4267132
3416;Eidskog;Innlandet;NO1;6 056;640;1017; 253 927,02 ; bokmål ;;Eventyrlige muligheter;"12° 3' 44,406"" E";"59° 59' 46,702"" N";12,062335;59,996306;339599369;Tverrbrennstua;Bodø og Omegns Turistforening;ubetjent;https://ut.no/hytte/tverrbrennstua;67,0018938;14,9485669
3240;Eidsvoll;Akershus;NO1;28 196;456;7454; 906 751,26 ; bokmål ;på historisk grunn inn i framtida;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"11° 13' 38,874"" E";"60° 23' 31,601"" N";11,227465;60,392111;339599370;Jordbruhytta;Bodø og Omegns Turistforening;ubetjent;https://ut.no/hytte/jordbruhytta;66,9359408;15,2365214
1101;Eigersund;Rogaland;NO5;15 301;432;3648; 531 321,82 ; nøytral ;Eg vett en liden holme udføre Eigerøy;Vi utvikler ett godt Rogaland. Verdiar: Vi er åpne, vi er kompetente, vi viser respekt.;"6° 8' 22,427"" E";"58° 30' 4,617"" N";6,139563;58,501283;339599371;Bjellåvasstua;Bodø og Omegns Turistforening;ubetjent;https://ut.no/hytte/bjellaavasstua;66,8494461;15,0456599
3420;Elverum;Innlandet;NO1;21 809;1229;4902; 730 543,80 ; nøytral ;Elverum har hjerterom;Eventyrlige muligheter;"11° 44' 10,132"" E";"60° 57' 32,542"" N";11,736148;60,959039;339599372;Storeng fjellgård;Bodø og Omegns Turistforening;stengt;;66,9263877;15,5184914
3220;Enebakk;Akershus;NO1;11 496;233;3185; 364 223,78 ; bokmål ;den grønne kulturkommunen;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"11° 6' 10,389"" E";"59° 45' 59,698"" N";11,102886;59,766583;339599373;Trygvebu;Bodø og Omegns Turistforening;ubetjent;https://ut.no/hytte/trygvebu;66,8005523;15,6888647
3425;Engerdal;Innlandet;NO1;1 335;2197;224; 84 674,99 ; bokmål ;;Eventyrlige muligheter;"11° 57' 14,517"" E";"61° 58' 52,350"" N";11,954032;61,981208;339599374;Lønsstua;Bodø og Omegns Turistforening;ubetjent;https://ut.no/hytte/loensstua;66,7360225;15,465619
4611;Etne;Vestland;NO5;4 083;735;897; 185 142,75 ; nynorsk ;Me gjere dè i Etne!;0;"6° 11' 27,231"" E";"59° 46' 27,405"" N";6,190898;59,774279;339599375;Midtistua;Bodø og Omegns Turistforening;ubetjent;https://ut.no/hytte/midtistua;66,7608134;15,0129592
3450;Etnedal;Innlandet;NO1;1 276;459;222; 82 310,63 ; nøytral ;Minst og best!;Eventyrlige muligheter;"9° 38' 24,650"" E";"60° 58' 29,281"" N";9,640181;60,9748;339599376;Saltfjellstua;Rana Turistforening;ubetjent;https://ut.no/hytte/saltfjellstua;66,7149655;15,0259014
1853;Evenes;Nordland;NO4;1 355;253;255; 78 621,65 ; bokmål ;;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;#I/T;#I/T;;;339599377;Krukkistua;Rana Turistforening;ubetjent;https://ut.no/hytte/krukkistua;66,6788792;15,0490779
4219;Evje;Agder;NO2;3 840;587;721; 161 767,56 ;#I/T;#I/T;0;#I/T;#I/T;;;339600585;Blakkådalshytta;Rana Turistforening;ubetjent;https://ut.no/hytte/blakkaadalshytta;66,5454807;14,4009758
4206;Farsund;Agder;NO2;9 864;263;2140; 357 484,91 ; bokmål ;Kysten er klar;0;"6° 46' 18,819"" E";"58° 8' 5,719"" N";6,771894;58,134922;339600587;Bolnastua;Rana Turistforening;ubetjent;https://ut.no/hytte/bolnastua;66,4924338;15,2379836
1841;Fauske;Nordland;NO4;9 758;1197;2195; 345 175,22 ; bokmål ;Folkehelsekommunen der alle trives;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;#I/T;#I/T;;;339600589;Virvasshytta;Rana Turistforening;ubetjent;https://ut.no/hytte/virvasshytta;66,3085612;15,3646462
4633;Fedje;Vestland;NO5;526;9;81; 51 700,13 ; nynorsk ;;0;"4° 42' 44,680"" E";"60° 46' 25,718"" N";4,712411;60,773811;339602307;Kvitsteindalstunet;Rana Turistforening;ubetjent;https://ut.no/hytte/kvitsteindalstunet;66,1840932;15,0515441
4615;Fitjar;Vestland;NO5;3 183;142;719; 138 029,15 ; nynorsk ;;0;"5° 20' 20,792"" E";"59° 54' 3,533"" N";5,339109;59,900981;339602316;Kjennsvasshytta;Hemnes Turistforening;ubetjent;https://ut.no/hytte/kjennsvasshytta;66,0656537;14,2612302
4646;Fjaler;Vestland;NO5;2 896;417;576; 164 560,54 ; nynorsk ;Eit ope samfunn ;0;"5° 24' 57,163"" E";"61° 16' 58,669"" N";5,415879;61,282964;339602318;Gressvasshytta;Hemnes Turistforening;ubetjent;https://ut.no/hytte/gressvasshytta;66,0479925;14,4240133
1578;Fjord;Møre og Romsdal;NO3;2 512;1191;450; 147 167,41 ; nynorsk ;;Ein tydeleg medspelar;"7° 22' 57,109"" E";"62° 17' 15,289"" N";7,38253;62,28758;339602322;Gråfjellhytta;Hemnes Turistforening;ubetjent;https://ut.no/hytte/graafjellhytta;65,9879334;14,0530404
1859;Flakstad;Nordland;NO4;1 231;179;233; 75 289,03 ; nøytral ;;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"13° 14' 10,975"" E";"68° 3' 52,097"" N";13,236382;68,064471;339607867;Eldåbu;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/101363/eldabu;61,7562897;9,9793564
5049;Flatanger;Trøndelag;NO4;1 115;459;232; 75 325,50 ; nøytral ;Aktivt og åpent;Midt i hjertet, midt i Norge;"10° 52' 7,414"" E";"64° 25' 43,931"" N";10,868726;64,42887;339607871;Storgrytdalseter;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/storgrytdalseter;61,9123422;10,3694441
4207;Flekkefjord;Agder;NO2;9 324;544;1902; 377 534,48 ; bokmål ;Vilje til vekst[treng kjelde];0;"6° 41' 39,543"" E";"58° 22' 23,832"" N";6,694318;58,373287;339607872;Korsberghytta;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/10720;61,974786;10,4438233
3334;Flesberg;Buskerud;NO1;2 808;562;614; 126 433,06 ; bokmål ;;Buskerud fylkeskommune skaper resultater gjennom samhandling. Verdiar: Raushet, åpenhet, mot, entusiasme;"9° 29' 33,267"" E";"59° 50' 52,733"" N";9,492574;59,847981;339607873;Grimsdalshytta;DNT Oslo og Omegn;betjent;https://ut.no/hytte/10494;62,0910527;9,6421663
3320;Flå;Buskerud;NO1;1 139;704;250; 68 719,63 ; bokmål ;;Buskerud fylkeskommune skaper resultater gjennom samhandling. Verdiar: Raushet, åpenhet, mot, entusiasme;"9° 30' 9,518"" E";"60° 24' 57,301"" N";9,502644;60,415917;339607875;Knausen;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/knausen;62,2238852;10,9558089
3429;Folldal;Innlandet;NO1;1 524;1277;253; 85 908,17 ; nøytral ;En frisk og frodig fjellkommune;Eventyrlige muligheter;"10° 1' 8,698"" E";"62° 10' 26,111"" N";10,019083;62,17392;339607876;Raudsjødalen;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/raudsjoedalen;62,2151525;11,150376
3107;Fredrikstad;Østfold;NO1;85 543;293;19355; 2 659 222,60 ; bokmål ;Fredrikstad - den lille verdensbyen;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"10° 55' 42,436"" E";"59° 13' 37,337"" N";10,928454;59,227038;339607877;Ellefsplass;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/ellefsplass;62,2044651;11,448247
3214;Frogn;Akershus;NO1;16 313;86;3854; 468 743,91 ; bokmål ;;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"10° 39' 48,559"" E";"59° 42' 11,693"" N";10,663489;59,703248;339607880;Narjordet;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/narjordet;62,430133;11,4110246
4214;Froland;Agder;NO2;6 272;645;1430; 227 283,66 ; nøytral ;enkelt og nært! ;0;"8° 24' 58,118"" E";"58° 35' 53,438"" N";8,416144;58,598177;343508885;Småvannsbu;DNT Oslo og Omegn;ubetjent;https://ut.no/hytte/smaavannsbu;59,7862478;10,3763258
5036;Frosta;Trøndelag;NO4;2 646;76;539; 122 875,25 ; nøytral ;Først og fremst;Midt i hjertet, midt i Norge;"10° 47' 30,334"" E";"63° 36' 23,573"" N";10,791759;63,606548;367871077;Liomseter;DNT Oslo og Omegn;betjent;https://www.ut.no/hytte/3.1755/;61,2423242;9,5946768
5014;Frøya;Trøndelag;NO4;5 556;241;1525; 215 789,75 ; bokmål ;Kraft og mangfold;Midt i hjertet, midt i Norge;"8° 41' 11,382"" E";"63° 45' 32,880"" N";8,686495;63,759133;410653214;Svarvestolen;Drammens og Oplands Turistforening;ubetjent;https://ut.no/hytte/svarvestolen;59,8834442;10,0327338
4032;Fyresdal;Telemark;NO1;1 260;1280;238; 69 763,37 ; nynorsk ;;Visjonar: vær modig, vær imøtekommende, vær troverdig;"8° 3' 20,638"" E";"59° 9' 40,146"" N";8,055733;59,161152;444092409;Finsehytta;DNT Oslo og Omegn;betjent;https://finsehytta.dnt.no/;60,5979163;7,5070391
3911;Færder;Vestfold;NO1;27 582;100;5829; 914 408,18 ; nøytral ;Med vind i seilene;Sammen om Vestfolds framtid. Verdiar: Rettferdig, åpen, modig og profesjonell;"10° 25' 17,700"" E";"59° 9' 59,214"" N";10,421583;59,166448;444899477;Kongshelleren;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/10811/kongshelleren;60,7770989;7,7011667
5626;Gamvik;Finnmark;NO4;1 061;1417;233; 91 147,51 ; nøytral ;På toppen av Norge;Der drømmer blir virkelighet;"27° 53' 44,518"" E";"70° 47' 34,280"" N";27,895699;70,792856;448478795;Hellevassbu;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/hellevassbu;59,9829633;7,2151591
3441;Gausdal;Innlandet;NO1;6 174;1191;1418; 224 774,00 ; nøytral ;Offensiv og spennende;Eventyrlige muligheter;"9° 51' 36,911"" E";"61° 16' 17,784"" N";9,860253;61,271607;448518394;Litlos;DNT Oslo og Omegn;betjent;https://ut.no/hytte/litlos;60,0938207;7,1371543
1838;Gildeskål;Nordland;NO4;1 981;665;372; 109 624,74 ; nøytral ;;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"14° 6' 44,492"" E";"66° 58' 25,607"" N";14,112359;66,97378;448543406;Stavali;Bergen Turlag;selvbetjent;https://ut.no/hytte/stavali;60,3184041;6,8949293
1532;Giske;Møre og Romsdal;NO3;8 756;41;2197; 304 168,27 ; nynorsk ;Historisk og framtidsretta ;Ein tydeleg medspelar;"6° 3' 38,211"" E";"62° 31' 30,648"" N";6,060614;62,52518;448624959;Torehytten;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/10664;60,2113308;7,0348754
1557;Gjemnes;Møre og Romsdal;NO3;2 698;382;605; 117 926,32 ; nøytral ;Godt å leve - trygt å bo;Ein tydeleg medspelar;"7° 49' 20,184"" E";"62° 53' 36,047"" N";7,822273;62,893346;457082683;Fondsbu;DNT Oslo og Omegn;betjent;https://ut.no/hytte/fondsbu;61,3751863;8,2973974
3230;Gjerdrum;Akershus;NO1;7 450;83;2103; 228 906,52 ; bokmål ;Nærmere enn du tror;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"11° 0' 46,999"" E";"60° 4' 50,891"" N";11,013055;60,080803;457085039;Olavsbu;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/olavsbu;61,4711366;8,2742366
4211;Gjerstad;Agder;NO2;2 487;322;468; 114 555,37 ; nøytral ;Best når det gjelder!;0;"8° 58' 43,505"" E";"58° 53' 19,680"" N";8,978751;58,8888;481623261;Svartenut;DNT Sør;selvbetjent;https://ut.no/hytte/svartenut;59,1317879;7,2504501
1122;Gjesdal;Rogaland;NO5;12 490;618;3405; 449 266,12 ; nøytral ; Vi strekker oss lenger?;Vi utvikler ett godt Rogaland. Verdiar: Vi er åpne, vi er kompetente, vi viser respekt.;"6° 15' 8,939"" E";"58° 48' 46,929"" N";6,252483;58,813036;512097966;Reindalseter;Ålesund-Sunnmøre Turistforening;betjent;https://ut.no/hytte/reindalseter;62,1874056;7,5782621
3407;Gjøvik;Innlandet;NO1;30 985;671;7112; 983 696,56 ; bokmål ;Motor for vekst og utvikling[treng kjelde];Eventyrlige muligheter;"10° 28' 13,612"" E";"60° 53' 16,190"" N";10,470448;60,887831;530783833;Sæteren gård;DNT Oslo og Omegn;ubetjent;https://ut.no/hytte/saeteren-gaard;59,9478038;10,5621885
4650;Gloppen;Vestland;NO5;5 907;1031;1306; 281 293,44 ; nynorsk ;;0;"6° 10' 0,754"" E";"61° 43' 9,566"" N";6,166876;61,719324;540229469;Kobberhaughytta;DNT Oslo og Omegn;betjent;https://kobberhaughytta.dnt.no;60,0360959;10,6636841
